No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
47,Music Streaming,"music, streaming",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Dark (#121212) + Vibrant accents + Album art colors,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
48,Video Streaming/OTT,"video, streaming, ott",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Dark bg + Content poster colors + Brand accent,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
49,Job Board/Recruitment,"job, board, recruitment",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional Blue + Success Green + Neutral,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
50,Marketplace (P2P),"marketplace, p2p",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Trust colors + Category colors + Success green,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
51,Logistics/Delivery,"logistics, delivery",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Blue (#2563EB) + Orange (tracking) + Green (delivered),"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
52,Agriculture/Farm Tech,"agriculture, farm, tech",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Earth Green (#4A7C23) + Brown + Sky Blue,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
53,Construction/Architecture,"construction, architecture",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Grey (#4A4A4A) + Orange (safety) + Blueprint Blue,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
54,Automotive/Car Dealership,"automotive, car, dealership",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Brand colors + Metallic accents + Dark/Light,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
55,Photography Studio,"photography, studio",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Black + White + Minimal accent,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
56,Coworking Space,"coworking, space",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Energetic colors + Wood tones + Brand accent,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
57,Cleaning Service,"cleaning, service",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Fresh Blue (#00B4D8) + Clean White + Green,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
58,Home Services (Plumber/Electrician),"home, services, plumber, electrician",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Trust Blue + Safety Orange + Professional grey,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
59,Childcare/Daycare,"childcare, daycare",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Playful pastels + Safe colors + Warm accents,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
60,Senior Care/Elderly,"senior, care, elderly",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Calm Blue + Warm neutrals + Large text,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
61,Medical Clinic,"medical, clinic",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Medical Blue (#0077B6) + Trust White + Calm Green,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
62,Pharmacy/Drug Store,"pharmacy, drug, store",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Pharmacy Green + Trust Blue + Clean White,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
63,Dental Practice,"dental, practice",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Fresh Blue + White + Smile Yellow accent,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
64,Veterinary Clinic,"veterinary, clinic",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Caring Blue + Pet-friendly colors + Warm accents,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
